DISTRICT,DIVISION,LOCATION,SUB LOCATION
MERU SOUTH,NITHI,MAKUUNI,MAKUUNI
MERU SOUTH,NITHI,THUITA,KATHATWA
MERU SOUTH,NITHI,GITARENI,KAARANI
MERU SOUTH,NITHI,KABUBONI,KABUBONI
MERU SOUTH,NITHI,MWONGE,KANGORO(KARAMANI)
MERU SOUTH,NITHI,KIANGONDU,MUCWA
MERU SOUTH,NITHI,KARINGANI,RUKINDU
MERU SOUTH,NITHI,MAKUUNI,KINORU
MERU SOUTH,NITHI,KITHANGANI,WERU
MERU SOUTH,NITHI,MUGWE,MUGIRIRWA
MERU SOUTH,NITHI,MUGWE,KIREGE
MERU SOUTH,NITHI,KAMAINDI,KAMAINDI
MERU SOUTH,NITHI,MWONGE,MWONGE
MERU SOUTH,NITHI,MAGUMONI,NTHAMBO
MERU SOUTH,NITHI,KABUBONI,KANYAKINI
MERU SOUTH,NITHI,MUIRU,MUIRU
MERU SOUTH,NITHI,KITHANGANI,KITHANGANI
MERU SOUTH,NITHI,MUIRU,NKUTHIKA
MERU SOUTH,NITHI,KAJUKI,KAMUTIRIA
MERU SOUTH,NITHI,KAMAINDI,IGAMBANG'OMBE
MERU SOUTH,NITHI,KAJUKI,MAKANYANGA
MERU SOUTH,NITHI,ITUGURURU,IGAMATUNDU
MERU SOUTH,NITHI,GITARENI,GITARENI
MERU SOUTH,NITHI,THUITA,THUITA
MERU SOUTH,NITHI,KARINGANI,NJAINA
MERU SOUTH,NITHI,ITUGURURU,MBOGONI
MERU SOUTH,NITHI,MUTINO,KAMONKA
MERU SOUTH,MAARA,KIRERA,MAGUTINI
MERU SOUTH,NITHI,MITHERU,NDUMBINI
MIGORI,SUNA EAST,SUNA CENTRAL,WASWETA I
MIGORI,NYATIKE,SOUTH EAST KARUNGU,OKAYO
MIGORI,SUNA WEST,SUNA RAGANA,ORUBA
MIGORI,NYATIKE,CENTRAL KARUNGU,RAGA
MIGORI,SUNA EAST,NORTH SUNA,KAKRAO
MIGORI,SUNA EAST,SUNA RABUOR,ONGUO
MIGORI,SUNA EAST,SUNA CENTRAL,NGEGE
MIGORI,SUNA EAST,SUNA RABUOR,KWA
MIGORI,SUNA WEST,SOUTH SUNA,WASWETA II
MIGORI,SUNA EAST,GOD JOPE,MANYATTA
MIGORI,SUNA EAST,UPPER SUNA,OGWEDH
MIGORI,SUNA WEST,LOWER SUNA,MUKURO
MIGORI,SUNA WEST,SUNA WEST,KOPANGA
MIGORI,SUNA EAST,GOD JOPE,WASIO
MIGORI,NYATIKE,WEST KARUNGU,GUNGA
MIGORI,NYATIKE,CENTRAL KADEM,KAKELO/KAKOTH
MIGORI,NYATIKE,CENTRAL MUHURU,NYABOMO
MIGORI,NYATIKE,WEST KADEM,WINAM
MIGORI,NYATIKE,KALER,KIASA
MIGORI,SUNA EAST,SUNA NYABISAWA,KIRENGO
MIGORI,NYATIKE,WEST KARUNGU,SORI
MIGORI,SUNA EAST,SUNA EAST,SOUTH OSINGO
MIGORI,NYATIKE,CENTRAL KADEM,KARAPOLO
MIGORI,NYATIKE,CENTRAL MUHURU,SUMBA
MIGORI,NYATIKE,WEST KADEM,AMOYO
MIGORI,SUNA EAST,NORTH SUNA,OTACHO
MIGORI,NYATIKE,EAST MUHURU,TAGACHE
MIGORI,SUNA EAST,SUNA NYABISAWA,NYAMANGA
MIGORI,SUNA WEST,SUNA RAHA,GOD KWER
MIGORI,SUNA WEST,SUNA RAHA,WIGA
MIGORI,SUNA EAST,SUNA EAST,OSINGO  NORTH
MIGORI,NYATIKE,NORTH EAST KADEM,OKENGE
MIGORI,NYATIKE,WEST MUHURU,NYANCHA
MIGORI,NYATIKE,SOUTH EAST MUHURU,NYAKONDO
MIGORI,NYATIKE,NORTH KADEM,MAGUNGU
MIGORI,NYATIKE,CENTRAL KARUNGU,OTATI
MIGORI,SUNA WEST,SOUTH SUNA,SAGERO
MIGORI,NYATIKE,NORTH EAST KADEM,KIWIRO
MIGORI,SUNA EAST,UPPER SUNA,SAGEGI
MIGORI,NYATIKE,WEST MUHURU,KITHII
MIGORI,NYATIKE,NORTH KADEM,BALA
MIGORI,SUNA WEST,SUNA WASIMBETE,MUBACHI
MIGORI,SUNA WEST,SUNA WEST,GIREBE
MIGORI,NYATIKE,SOUTH KADEM,OWICH
MIGORI,NYATIKE,SOUTH EAST KARUNGU,NGIRA
MIGORI,SUNA WEST,SUNA RAGANA,MARINDI
MIGORI,NYATIKE,CENTRAL KADEM,WEST KANYUOR
MIGORI,NYATIKE,EAST KARUNGU,ALENDU
MIGORI,NYATIKE,EAST MUHURU,WINJO
MIGORI,NYATIKE,SOUTH KADEM,MIKEI
MIGORI,NYATIKE,SOUTH KADEM,NYATIKE
MIGORI,NYATIKE,EAST KADEM,NYANDAGO
MIGORI,NYATIKE,EAST KARUNGU,MISIWI
MIGORI,NYATIKE,CENTRAL KADEM,EAST KANYUOR
MIGORI,SUNA WEST,LOWER SUNA,NYASOKO
MIGORI,SUNA WEST,SUNA WASIMBETE,NYAMARAGA
MIGORI,NYATIKE,EAST KADEM,BANDE
MIGORI,NYATIKE,WEST KADEM,ANEKO
MIGORI,NYATIKE,KALER,OLASI
MOLO,NJORO,PIAVE,SUBUKU
MOLO,NJORO,LARE,LARE
MOLO,MOLO,TURI,KIAMBIRIRIA
MOLO,MOLO,MOLO,MOLO
MOLO,KURESOI NORTH,TULWET,SOLIAT
MOLO,KURESOI NORTH,NYOTA,OLBUMBU
MOLO,NJORO,NJORO,NJORO
MOLO,NJORO,KIHINGO,KIHINGO
MOLO,MOLO,TURI,TURI
MOLO,KURESOI SOUTH,CHEPTUECH,IRONGO
MOLO,KURESOI SOUTH,AMALO,AMALO
MOLO,NJORO,BAGARIA,BAGARIA
MOLO,KURESOI NORTH,KURESOI,KIPKEWA
MOLO,KURESOI NORTH,SIRIKWA,SIRIKWA
MOLO,KURESOI SOUTH,KIPTAGICH,KIPTAGICH
MOLO,KURESOI SOUTH,KAPLAMAI,KAPLAMAI
MOLO,MOLO,MOLO,MATUMAINI
MOLO,KURESOI NORTH,MAU SUMMIT,KOIGE
MOLO,KURESOI SOUTH,SILIBWET,RIBOT
MOLO,KURESOI SOUTH,CHEBARA,CHEBARA
MOLO,KURESOI NORTH,TULWET,TULWET
MOLO,KURESOI SOUTH,KERINGET,MILIMET
MOLO,KURESOI SOUTH,KAPSIMBEIYWO,KAPSIMBEIYWO
MOLO,KURESOI NORTH,SIRIKWA,SETKOTES
MOLO,MOLO,ELBURGON,ELBURGON
MOLO,KURESOI SOUTH,TINET,KAPNANDA
MOLO,KURESOI SOUTH,KERINGET,KERINGET
MOLO,MOLO,ELBURGON,ARIMI
MOLO,KURESOI SOUTH,TINET,TINET
MOLO,NJORO,TERET,TERET
MOLO,KURESOI SOUTH,KERINGET,SIWOT
MOLO,NJORO,LARE,NDULELE
MOLO,NJORO,MAU NAROK,KIANJOYA
MOLO,KURESOI NORTH,MKULIMA,MAWINGO
MOLO,NJORO,PIAVE,MIGAA
MOLO,KURESOI NORTH,KIPTORORO,CHEMARE
MOLO,KURESOI NORTH,NYOTA,LANGWENDA
MOLO,NJORO,NESSUIT,SIGOTIK
MOLO,NJORO,NAISHI,NAISHI
MOLO,NJORO,NESSUIT,NESSUIT
MOLO,KURESOI NORTH,KURESOI,KURESOI
MOLO,KURESOI NORTH,MAU SUMMIT,SARAMBEI
MOLO,NJORO,GICHOBO,SINENDET
MOLO,NJORO,KAPKEMBU,CHEBITET
MOLO,NJORO,GICHOBO,GICHOBO
MOLO,KURESOI NORTH,TEMOYETTA,IKUMBI
MOLO,KURESOI NORTH,KAMARA,SINENDET
MOLO,NJORO,NJORO,MUKUNGUGU
MOLO,KURESOI SOUTH,CHEMANER,CHEMANER
MOLO,MOLO,MARIASHONI,NDOSWA
MOLO,KURESOI NORTH,MKULIMA,LULUKWET
MOLO,MOLO,ELBURGON,MUTAMAIYU
MOLO,KURESOI NORTH,MAU SUMMIT,MAU SUMMIT
MOLO,KURESOI SOUTH,CHEMANER,CHEPALUNGU
MOLO,NJORO,MAUCHE,MAUCHE
MOLO,NJORO,KIHINGO,LUSIRU
MOLO,KURESOI SOUTH,SILIBWET,SILIBWET
MOLO,KURESOI NORTH,KAMARA,KAMARA
MOLO,KURESOI SOUTH,EMITIK,EMITIK
MOLO,NJORO,TUIYOTICH,LOITEPES
MOLO,KURESOI NORTH,KAMARA,MAU
MOLO,KURESOI NORTH,TEMOYETTA,MURGIYENY
MOLO,KURESOI NORTH,KIPTORORO,CHEMATICH
MOLO,NJORO,BAGARIA,KAPYEMIT
MOLO,KURESOI NORTH,TEMOYETTA,CHEPTAGUM
MOLO,NJORO,TERET,LELECHWET
MOLO,MOLO,MARIASHONI,KITIRO
MOLO,KURESOI SOUTH,KIPSONOI,TEGAT
MOLO,KURESOI NORTH,KURESOI,KONGOI
MOLO,KURESOI SOUTH,EMITIK,KAPUGUNOT
MOLO,KURESOI SOUTH,AMALO,KIPTARAGON
MOLO,MOLO,SACHANGWAN,SACHANGWANY
MOLO,KURESOI SOUTH,KIPTAGICH,ARORWET
MOLO,KURESOI NORTH,NYOTA,NYOTA
MOLO,KURESOI SOUTH,KIPTAGICH,CHEBOTOI
MOLO,NJORO,MAUCHE,TACHASIS
MOLO,MOLO,MARIASHONI,KIPTUNGA
MOLO,NJORO,KAPKEMBU,KAPKEMBU
MOLO,KURESOI SOUTH,CHEPTUECH,CHEPTUECH
MOLO,NJORO,BAGARIA,MILIMANI
MOLO,KURESOI SOUTH,SINENDET,SINENDET
MOLO,NJORO,SURURU,KIPTULEL
MOLO,MOLO,SACHANGWAN,KABIANGA
MOLO,KURESOI SOUTH,KAPLAMAI,CHEPAKUNDI
MOLO,KURESOI SOUTH,KIPSONOI,KIPSONOI
MOLO,NJORO,NESSUIT,MISEPEI
MOLO,NAROK NORTH,OLOKURTO,OLOKURTO
MOLO,KURESOI SOUTH,SINENDET,KOISEGUT
MOLO,KURESOI SOUTH,SINENDET,ANAIMOI
MOLO,KURESOI SOUTH,CHEBARA,BARARGET
MOMBASA,NYALI,KONGOWEA,KONGOWEA
MOMBASA,KISAUNI,KISAUNI,MAGOGONI
MOMBASA,MVITA,TONONOKA,BONDENI
MOMBASA,MVITA,MWEMBE TAYARI,MWEMBE TAYARI
MOMBASA,NYALI,KISAUNI,KISAUNI
MOMBASA,MVITA,MAJENGO,MAJENGO
MOMBASA,MVITA,GANJONI,KIZINGO
MOMBASA,MVITA,TUDOR,TUDOR
MOMBASA,MVITA,OLD TOWN,MJI WA KALE
MOMBASA,NYALI,KONGOWEA,MAWENI
MOMBASA,MVITA,TONONOKA,TONONOKA
MOMBASA,MVITA,GANJONI,GANJONI
MOMBASA,MVITA,OLD TOWN,MAKADARA
MOMBASA,KISAUNI,BAMBURI,MWEMBE LEGEZA
MOMBASA,KISAUNI,KISAUNI,JUNDA
MOMBASA,KISAUNI,BAMBURI,BAMBURI
MOMBASA,KISAUNI,BAMBURI,SHANZU
MOMBASA,MVITA,TUDOR,TUDOR FOUR
MOMBASA,KISAUNI,BAMBURI,MWAKIRUNGE
MOMBASA,MVITA,RAILWAY,RAILWAY/KINGORANI
MOMBASA,KISAUNI,BAMBURI,MAUNGUJA
MOYALE,MOYALE,ODDA,ODDA
MOYALE,MOYALE,BUTIYE,BUTIYE
MOYALE,MOYALE,TOWNSHIP,TOWNSHIP
MOYALE,MOYALE,URAN,URAN
MOYALE,MOYALE,SOLOLO,SOLOLO RAMATA
MOYALE,MOYALE,HEILU,HEILU
MOYALE,MOYALE,ANONA,ANONA
MOYALE,MOYALE,TOWNSHIP,GURUMESA
MOYALE,MOYALE,GODOMA,GODOMA
MOYALE,MOYALE,NANA,NANA
MOYALE,MOYALE,GOLOLE,KARBURURI
MOYALE,MOYALE,MANYATTA,MANYATTA
MOYALE,MOYALE,DABEL,DABEL
MOYALE,MOYALE,URAN,LATAKA
MOYALE,MOYALE,WALDA,WALDA
MOYALE,MOYALE,BUTIYE,GOROMUDA
MOYALE,MOYALE,HEILU,MANSILE
MOYALE,MOYALE,NANA,YABALO
MOYALE,MOYALE,WAYE,MADO ADHI
MOYALE,MOYALE,DABEL,GUYO TIMOR
MOYALE,MOYALE,DAMBALA FACHAN,DAMBALA FACHANA
MOYALE,MOYALE,GOLOLE,GOLOLE
MOYALE,MOYALE,BORI,KATE
MOYALE,MOYALE,SOMARE,SOMARE
MOYALE,MOYALE,SOLOLO MAKUTANO,SOLOLO MAKUTANO
MOYALE,MOYALE,TOWNSHIP,SESSI
MOYALE,MOYALE,BORI,BORI
MOYALE,MOYALE,ODDA,FUNANYATTA
MOYALE,MOYALE,KINISA,KINISA
MOYALE,MOYALE,RAWANA,BANALE
MOYALE,MOYALE,RAWANA,RAWANA
MOYALE,MOYALE,DAMBALA FACHAN,GARBA
MOYALE,MOYALE,WAYE,WAYE-GODHA
MOYALE,MOYALE,AMBALLO,AMBALLO
MOYALE,MOYALE,DABEL,DIRDIMA
MOYALE,MOYALE,DABEL,GOLA
MSAMBWENI,LUNGA LUNGA,PONGWE/KIDIMU,MZIZIMA
MSAMBWENI,MSAMBWENI,DIANI,GOMBATO
MSAMBWENI,MSAMBWENI,DIANI,UKUNDA
MSAMBWENI,MSAMBWENI,MIVUMONI,MIVUMONI
MSAMBWENI,LUNGA LUNGA,KIKONENI,BUMBANI
MSAMBWENI,MSAMBWENI,KINONDO,KINONDO
MSAMBWENI,LUNGA LUNGA,DZOMBO,MRIMA/MALAMBA
MSAMBWENI,MSAMBWENI,MSAMBWENI,VINGUJINI
MSAMBWENI,LUNGA LUNGA,PONGWE/KIDIMU,MAJORENI
MSAMBWENI,LUNGA LUNGA,LUNGA LUNGA,SEGA
MSAMBWENI,LUNGA LUNGA,VANGA,JEGO
MSAMBWENI,LUNGA LUNGA,MWERENI,KILIMANGODO
MSAMBWENI,MSAMBWENI,MSAMBWENI,MILALANI
MSAMBWENI,MSAMBWENI,KINONDO,GAZI
MSAMBWENI,MSAMBWENI,DIANI,BONGWE
MSAMBWENI,MSAMBWENI,KINGWEDE/SHIRA,SHIRAZI
MSAMBWENI,LUNGA LUNGA,MWERENI,MWENA
MSAMBWENI,LUNGA LUNGA,VANGA,VANGA
MSAMBWENI,MSAMBWENI,KINGWEDE/SHIRA,KINGWEDE
MSAMBWENI,LUNGA LUNGA,LUNGA LUNGA,KASEMENI
MSAMBWENI,MSAMBWENI,KINGWEDE/SHIRA,FUNZI
MSAMBWENI,LUNGA LUNGA,VANGA,KIWEGU
MSAMBWENI,LUNGA LUNGA,PONGWE/KIDIMU,SHIMONI
MSAMBWENI,LUNGA LUNGA,PONGWE/KIDIMU,WASINI/MKWIRO
MT ELGON,MT. ELGON,CHESIKAKI,CHESIKAKI
MT ELGON,MT. ELGON,SASUR,SASUR
MT ELGON,MT. ELGON,CHEPKUBE,CHEPKUBE
MT ELGON,MT. ELGON,KAPTAMA,KAPTAMA
MT ELGON,MT. ELGON,NOMORIO,NOMORIO
MT ELGON,MT. ELGON,KONGIT,KONGIT
MT ELGON,MT. ELGON,CHONGEYWO,CHONGEYWO
MT ELGON,MT. ELGON,SASUR,TOROSO
MT ELGON,MT. ELGON,CHESIKAKI,CHEMONDI
MT ELGON,MT. ELGON,CHEMOGE,CHEMSES
MT ELGON,MT. ELGON,CHEPTAIS,NGACHI
MT ELGON,MT. ELGON,ELGON,KIBUK
MT ELGON,MT. ELGON,CHEPTAIS,CHEPTAIS
MT ELGON,MT. ELGON,KAPKATENY,CHEPTONON
MT ELGON,MT. ELGON,KAPTAMA,KABOROM
MT ELGON,MT. ELGON,CHONGEYWO,MASAEK
MT ELGON,MT. ELGON,EMIA,CHEPKURKUR
MT ELGON,MT. ELGON,KONGIT,KAPTALELIA
MT ELGON,MT. ELGON,KAMUNERU,KAMUNERU
MT ELGON,MT. ELGON,CHEPYUK,CHEPYUK
MT ELGON,MT. ELGON,KAPSOKWONY,CHEMWEISUS
MT ELGON,MT. ELGON,KAPKATENY,TOYWONDET
MT ELGON,MT. ELGON,CHEPKUBE,CHEBWEK
MT ELGON,MT. ELGON,NOMORIO,SAMBOCHO
MT ELGON,MT. ELGON,CHEPYUK,KUBURA
MT ELGON,MT. ELGON,KABOYWO,KABOYWO
MT ELGON,MT. ELGON,KAPSOKWONY,BUGAA
MT ELGON,MT. ELGON,EMIA,KORN'GOTUNY
MT ELGON,MT. ELGON,CHEPYUK,KAIMUGUL
MT ELGON,MT. ELGON,ELGON,KIMOBO
MT ELGON,MT. ELGON,CHEMOGE,CHEMOGE
MT ELGON,MT. ELGON,NOMORIO,KIPYETO
MT ELGON,MT. ELGON,KAPSOKWONY,KAPSOKWONY
MT ELGON,MT. ELGON,KAPKATENY,TEREM
MT ELGON,MT. ELGON,KABOYWO,CHESITO
MT ELGON,MT. ELGON,EMIA,EMIA
MT ELGON,MT. ELGON,CHONGEYWO,KAPKURONGO
MT ELGON,MT. ELGON,KAMUNERU,SACHO
MT ELGON,MT. ELGON,NOMORIO,KOSHOK
MT ELGON,MT. ELGON,ELGON,KAMTYONG
MUMIAS,MUMIAS EAST,ISONGO,MAKUNGA
MUMIAS,MUMIAS EAST,ISONGO,ISONGO
MUMIAS,MATUNGU,MATUNGU,KHOLERA
MUMIAS,MATUNGU,MATUNGU,MATUNGU
MUMIAS,MATUNGU,MATUNGU,MAYONI
MUMIAS,MUMIAS EAST,LUBINU,LUSHEYA
MUMIAS,MUMIAS WEST,NABONGO,MUMIAS TOWN
MUMIAS,MATUNGU,KOYONZO,NANYENI
MUMIAS,MUMIAS WEST,ETENJE,BUKAYA
MUMIAS,MUMIAS EAST,EAST WANGA,MUNGANGA
MUMIAS,MATUNGU,KOYONZO,KOYONZO
MUMIAS,MATUNGU,KOYONZO,MIRERE
MUMIAS,MUMIAS EAST,EAST WANGA,ELUCHE
MUMIAS,MUMIAS WEST,ETENJE,BUCHIFI
MUMIAS,MUMIAS WEST,ETENJE,ESHIKALAME
MUMIAS,MUMIAS EAST,MALAHA,MALAHA
MUMIAS,MUMIAS WEST,MUSANDA,MUSANDA
MUMIAS,MATUNGU,KOYONZO,LUNGANYIRO
MUMIAS,MATUNGU,MATUNGU,KHALABA
MUMIAS,MUMIAS WEST,NABONGO,MATAWA
MUMIAS,MATUNGU,KOYONZO,NAMAMALI
MUMIAS,MUMIAS WEST,MUSANDA,BUNGASI
MUMIAS,MUMIAS EAST,MALAHA,KHAUNGA
MUMIAS,MATUNGU,KOYONZO,INDANGALASIA
MUMIAS,MATUNGU,KOYONZO,MUNAMI
MUMIAS,MUMIAS WEST,NABONGO,LUREKO
MUMIAS,MUMIAS WEST,MUSANDA,ESHIHAKA
MUMIAS,MUMIAS WEST,ETENJE,MASINJIRA
MUMIAS,MATUNGU,MATUNGU,NAMULUNGU
MUMIAS,MUMIAS EAST,LUBINU,LUBINU
MUMIAS,MATUNGU,MATUNGU,MUSAMBA
MUMIAS,MUMIAS EAST,NABONGO,EKERO
MUMIAS,MUMIAS EAST,NABONGO,NUCLEUS
MURANGA NORTH,KIHARU,TOWNSHIP,KARURI
MURANGA NORTH,KIHARU,GATURI,GAKUYU
MURANGA NORTH,KIHARU,MUGOIRI,KIRIA
MURANGA NORTH,KIHARU,MUGOIRI,KAHURO
MURANGA NORTH,MATHIOYA,KIRU,KANJAMA
MURANGA NORTH,KIHARU,KIMATHI,NYAKIHANI
MURANGA NORTH,KANGEMA,IYEGO,GITHUNGURI
MURANGA NORTH,KANGEMA,IYEGO,GIKUI
MURANGA NORTH,MATHIOYA,GITUGI,KAMBARA
MURANGA NORTH,MATHIOYA,KAMACHARIA,THUITA
MURANGA NORTH,KIHARU,KIMATHI,RURII
MURANGA NORTH,MATHIOYA,KAMACHARIA,KAMACHARIA
MURANGA NORTH,KIHARU,MURARANDIA,MURARANDIA
MURANGA NORTH,KIHARU,MURARANDIA,GATHAITHI
MURANGA NORTH,MATHIOYA,KIRU,KORA
MURANGA NORTH,MATHIOYA,NJUMBI,GIKOE
MURANGA NORTH,KIHARU,WEITHAGA,WANJENGI
MURANGA NORTH,KIHARU,GATURI,GATHUKEINI
MURANGA NORTH,KANGEMA,MUGURU,WATUHA
MURANGA NORTH,KIHARU,GATURI,GEITWA/MUGEKA
MURANGA NORTH,KANGEMA,KANYENYAINI,KANYENYAINI
MURANGA NORTH,KIHARU,KAHUHIA,KIROGO
MURANGA NORTH,KIHARU,MUGOIRI,MIRICHU
MURANGA NORTH,KIHARU,TOWNSHIP,MUKUYU
MURANGA NORTH,KANGEMA,KIRURI,KIRURI
MURANGA NORTH,MATHIOYA,NJUMBI,NYAKIANGA
MURANGA NORTH,KIHARU,GIKINDU,KAMBIRWA
MURANGA NORTH,KANGEMA,RWATHIA,KIAMBOGO
MURANGA NORTH,KIHARU,KAHUHIA,GATHERI
MURANGA NORTH,KIHARU,GIKINDU,MIRIRA
MURANGA NORTH,KANGEMA,IYEGO,NYAKAHURA
MURANGA NORTH,MATHIOYA,KAMACHARIA,KAIRI
MURANGA NORTH,MATHIOYA,GITUGI,RUNYEKI
MURANGA NORTH,KIHARU,MURARANDIA,GATUYA
MURANGA NORTH,KIHARU,MURARANDIA,KAGANDA
MURANGA NORTH,KANGEMA,KIRURI,TUTHU
MURANGA NORTH,KIHARU,MBIRI,MUCHUNGUCHA
MURANGA NORTH,KANGEMA,RWATHIA,RWATHIA
MURANGA NORTH,MATHIOYA,KAMACHARIA,KAMUNE
MURANGA NORTH,KANGEMA,KANYENYAINI,GITUGI
MURANGA NORTH,MATHIOYA,NJUMBI,GACHARAGEINI
MURANGA NORTH,MATHIOYA,GITUGI,CHUI
MURANGA NORTH,MATHIOYA,KIRU,KAGUMO-INI
MURANGA NORTH,KIHARU,TOWNSHIP,NJOGUINI
MURANGA NORTH,MATHIOYA,GITUGI,NGUTU
MURANGA NORTH,KIHARU,KIMATHI,KIGONGO
MURANGA NORTH,MATHIOYA,GITUGI,KARUNGE
MURANGA NORTH,KANGEMA,KIRURI,NDUI-INI
MURANGA NORTH,KANGEMA,MUGURU,GAKIRA
MURANGA NORTH,KANGEMA,MUGURU,KIAIRATHE
MURANGA NORTH,KANGEMA,IYEGO,GACHARAINGU
MURANGA NORTH,KANGEMA,KANYENYAINI,GITHIGA
MURANGA NORTH,MATHIOYA,NJUMBI,KAGONGO
MURANGA NORTH,KANGEMA,KIRURI,KARURUMO
MURANGA NORTH,KIHARU,MUGOIRI,GATUNDU
MURANGA NORTH,MATHIOYA,GITUGI,GITUGI
MURANGA NORTH,KIHARU,MBIRI,MARAGI
MURANGA NORTH,KANGEMA,MUGURU,KANORERO
MURANGA NORTH,MATHIOYA,GITUGI,MIHUTI
MURANGA NORTH,KIHARU,KAHUHIA,MUKANGU
MURANGA NORTH,MATHIOYA,KIRU,KAIRO
MURANGA NORTH,KIHARU,MBIRI,GIKANDU
MURANGA NORTH,KANGEMA,KIRURI,ICHUCHI
MURANGA NORTH,KIHARU,WEITHAGA,WANGU
MURANGA NORTH,MATHIOYA,NJUMBI,KIAMUTURI
MURANGA NORTH,MATHIOYA,KIRU,KIAMBUTHIA
MURANGA NORTH,KIHARU,GIKINDU,GITHURI
MURANGA NORTH,KIHARU,WEITHAGA,KAHUTI
MURANGA NORTH,KANGEMA,KANYENYAINI,NGOE-INI
MURANGA NORTH,KIHARU,MURARANDIA,THERI
MURANGA NORTH,MATHIOYA,NJUMBI,GATUNGURU
MURANGA NORTH,KANGEMA,RWATHIA,KIHOYA
MURANGA NORTH,MATHIOYA,KIRU,KIRIA-INI
MURANGA NORTH,KANGEMA,KANYENYAINI,KIBUTHA
MURANGA NORTH,KANGEMA,RWATHIA,WANJERERE
MURANGA SOUTH,KANDARA,NGARARIA,NAARO
MURANGA SOUTH,KIGUMO,KINYONA,GACHARAGE
MURANGA SOUTH,MARAGWA,MAKUYU,KIMORORI
MURANGA SOUTH,KIGUMO,MUTHITHI,GIKARANGU
MURANGA SOUTH,MARAGWA,ICHAGAKI,KIANJIRU-INI
MURANGA SOUTH,MARAGWA,NGINDA,GAKOIGO
MURANGA SOUTH,MARAGWA,ICHAGAKI,GIKOMORA
MURANGA SOUTH,MARAGWA,NGINDA,KAHARO
MURANGA SOUTH,MARAGWA,NGINDA,GATHERA
MURANGA SOUTH,KANDARA,MURUKA,MURUKA
MURANGA SOUTH,KANDARA,MURUKA,NGUTHURU
MURANGA SOUTH,MARAGWA,NGINDA,ITAAGA
MURANGA SOUTH,KANDARA,RUCHU,GITHUMU
MURANGA SOUTH,KIGUMO,KIGUMO,GACHOCHO
MURANGA SOUTH,KIGUMO,KAHUMBU,KANDANI
MURANGA SOUTH,KANDARA,RUCHU,MUNGARIA/MUKANGU
MURANGA SOUTH,KIGUMO,KIGUMO,GITHIMA
MURANGA SOUTH,MARAGWA,MAKUYU,KIRIMIRI
MURANGA SOUTH,KANDARA,ITHIRU,KAGUTHI
MURANGA SOUTH,KANDARA,GAICHANJIRU,NGURWE-INI
MURANGA SOUTH,KIGUMO,KAHUMBU,GAKUYU
MURANGA SOUTH,MARAGWA,MARAGUA RIDGE,MARAGUA RIDGE
MURANGA SOUTH,KANDARA,KAGUNDU-INI,KABATI
MURANGA SOUTH,KIGUMO,KINYONA,KAMUKABI
MURANGA SOUTH,KANDARA,GAICHANJIRU,GAICHANJIRU
MURANGA SOUTH,KANDARA,ITHIRU,GAKARARA
MURANGA SOUTH,KANDARA,NGARARIA,NGARARIA
MURANGA SOUTH,MARAGWA,KAMAHUHA,SABA SABA
MURANGA SOUTH,KANDARA,GAICHANJIRU,KAGUMO-INI
MURANGA SOUTH,KANDARA,RUCHU,KARIUA
MURANGA SOUTH,KANDARA,GAICHANJIRU,MARIA-INI
MURANGA SOUTH,KANDARA,ITHIRU,GITHUYA
MURANGA SOUTH,KANDARA,ITHIRU,KARIMAMWARO
MURANGA SOUTH,KANDARA,MURUKA,GATITU
MURANGA SOUTH,MARAGWA,MAKUYU,WEMPA
MURANGA SOUTH,KANDARA,GAICHANJIRU,KAGIRA
MURANGA SOUTH,KANDARA,KAGUNDU-INI,KARITI
MURANGA SOUTH,KANDARA,NGARARIA,KAWENDO
MURANGA SOUTH,KANDARA,ITHIRU,KIIRI
MURANGA SOUTH,KIGUMO,KIGUMO,KIRERE
MURANGA SOUTH,MARAGWA,ICHAGAKI,ICHAGAKI
MURANGA SOUTH,KIGUMO,MUTHITHI,KAGURUMO
MURANGA SOUTH,MARAGWA,KAMAHUHA,KAHARATI
MURANGA SOUTH,KIGUMO,MUTHITHI,KIAHITI
MURANGA SOUTH,KIGUMO,KANGARI,KANGARI
MURANGA SOUTH,KIGUMO,KIGUMO,MARUMI
MURANGA SOUTH,KIGUMO,KAHUMBU,GITHEMBE
MURANGA SOUTH,MARAGWA,NGINDA,MBUGUA
MURANGA SOUTH,KIGUMO,KINYONA,KINYONA
MURANGA SOUTH,KIGUMO,MUTHITHI,MUNGU-INI
MURANGA SOUTH,MARAGWA,KAMBITI,KARIA-INI
MURANGA SOUTH,KANDARA,KAGUNDU-INI,KAGUNDU-INI
MURANGA SOUTH,MARAGWA,KAMAHUHA,KAMAHUHA
MURANGA SOUTH,KIGUMO,KIGUMO,IRIGU-INI
MURANGA SOUTH,MARAGWA,MAKUYU,MAKUYU
MURANGA SOUTH,KANDARA,KAGUNDU-INI,GITURA
MURANGA SOUTH,MARAGWA,ICHAGAKI,SAMAR
MURANGA SOUTH,KIGUMO,MUTHITHI,MUTHITHI
MURANGA SOUTH,KIGUMO,KANGARI,MARIIRA
MURANGA SOUTH,KIGUMO,KAHUMBU,MUGUMO-INI
MURANGA SOUTH,MARAGWA,MAKUYU,GAKUNGU
MURANGA SOUTH,KIGUMO,KANGARI,MAKOMBOKI
